description,description_en,transaction_type,amount_range,tax_rate,debit_account_code,credit_account_code,debit_account_type,credit_account_type,confidence,source
RING KT-PIST,RING KT-PIST,invoice,medium,15.0,400039,201002,,,0.95,real_odoo
RING KT-PIST,RING KT-PIST,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
MDF SHEET 1.22*2.44* 11 MM,MDF SHEET 1.22*2.44* 11 MM,invoice,large,15.0,400048,201002,,,0.95,real_odoo
MDF SHEET 1.22*2.44* 11 MM,MDF SHEET 1.22*2.44* 11 MM,invoice,large,15.0,104041,201002,,,0.95,real_odoo
A004007524l synthtic enamel gloss choclet,A004007524l synthtic enamel gloss choclet,invoice,medium,15.0,410008,201002,,,0.95,real_odoo
A004007524l synthtic enamel gloss choclet,A004007524l synthtic enamel gloss choclet,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
EYE SCROWS HOOKS,EYE SCROWS HOOKS,invoice,small,15.0,410004,201002,,,0.95,real_odoo
EYE SCROWS HOOKS,EYE SCROWS HOOKS,invoice,small,15.0,104041,201002,,,0.95,real_odoo
SAWA RECHARGE,SAWA RECHARGE,invoice,small,0.0,400020,201002,,,0.95,real_odoo
"Masking Tape 2""","Masking Tape 2""",invoice,small,15.0,410004,201002,,,0.95,real_odoo
"Masking Tape 2""","Masking Tape 2""",invoice,small,15.0,104041,201002,,,0.95,real_odoo
DISC MAINTENANCE,DISC MAINTENANCE,invoice,small,15.0,410004,201002,,,0.95,real_odoo
DISC MAINTENANCE,DISC MAINTENANCE,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Cement AL YAMAMA,Cement AL YAMAMA,invoice,small,15.0,410015,201002,,,0.95,real_odoo
Cement AL YAMAMA,Cement AL YAMAMA,invoice,small,15.0,104041,201002,,,0.95,real_odoo
CERAMIC CUTTER MAINTENANCE,CERAMIC CUTTER MAINTENANCE,invoice,small,15.0,410004,201002,,,0.95,real_odoo
CERAMIC CUTTER MAINTENANCE,CERAMIC CUTTER MAINTENANCE,invoice,small,15.0,104041,201002,,,0.95,real_odoo
PUTTY 20 KG,PUTTY 20 KG,invoice,small,15.0,410008,201002,,,0.95,real_odoo
PUTTY 20 KG,PUTTY 20 KG,invoice,small,15.0,104041,201002,,,0.95,real_odoo
ENIBOND DRUM,ENIBOND DRUM,invoice,small,15.0,410004,201002,,,0.95,real_odoo
ENIBOND DRUM,ENIBOND DRUM,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Sand Paper 320,Sand Paper 320,invoice,small,15.0,410007,201002,,,0.95,real_odoo
Sand Paper 320,Sand Paper 320,invoice,small,15.0,104041,201002,,,0.95,real_odoo
AUTOWELD SOLID MIG WIRE 15 KG 0.08,AUTOWELD SOLID MIG WIRE 15 KG 0.08,invoice,small,15.0,410007,201002,,,0.95,real_odoo
AUTOWELD SOLID MIG WIRE 15 KG 0.08,AUTOWELD SOLID MIG WIRE 15 KG 0.08,invoice,small,15.0,104041,201002,,,0.95,real_odoo
BRUSH PAINT,BRUSH PAINT,invoice,small,15.0,400001,201002,,,0.95,real_odoo
BRUSH PAINT,BRUSH PAINT,invoice,small,15.0,104041,201002,,,0.95,real_odoo
"4.5"" CUTTING DISC","4.5"" CUTTING DISC",invoice,small,15.0,410004,201002,,,0.95,real_odoo
"4.5"" CUTTING DISC","4.5"" CUTTING DISC",invoice,small,15.0,104041,201002,,,0.95,real_odoo
PERMATTEEX 311 GM,PERMATTEEX 311 GM,invoice,small,15.0,410004,201002,,,0.95,real_odoo
PERMATTEEX 311 GM,PERMATTEEX 311 GM,invoice,small,15.0,104041,201002,,,0.95,real_odoo
SACAFOLDING,SACAFOLDING,invoice,small,15.0,400034,201002,,,0.95,real_odoo
SACAFOLDING,SACAFOLDING,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Drywall screw black fine,Drywall screw black fine,invoice,small,15.0,410004,201002,,,0.95,real_odoo
Drywall screw black fine,Drywall screw black fine,invoice,small,15.0,410006,201002,,,0.95,real_odoo
Drywall screw black fine,Drywall screw black fine,invoice,small,15.0,104041,201002,,,0.95,real_odoo
"PIPE 4"" 5 MM","PIPE 4"" 5 MM",invoice,medium,15.0,410007,201002,,,0.95,real_odoo
"PIPE 4"" 5 MM","PIPE 4"" 5 MM",invoice,medium,15.0,104041,201002,,,0.95,real_odoo
CLOTH BUNDLE COTTON,CLOTH BUNDLE COTTON,invoice,small,15.0,410004,201002,,,0.95,real_odoo
CLOTH BUNDLE COTTON,CLOTH BUNDLE COTTON,invoice,small,15.0,104041,201002,,,0.95,real_odoo
"HAB
عازل","HAB
عازل",invoice,medium,15.0,410015,201002,,,0.95,real_odoo
"HAB
عازل","HAB
عازل",invoice,medium,15.0,104041,201002,,,0.95,real_odoo
DC CONNECTOR MALE SCREW 20-297,DC CONNECTOR MALE SCREW 20-297,invoice,small,15.0,410007,201002,,,0.95,real_odoo
DC CONNECTOR MALE SCREW 20-297,DC CONNECTOR MALE SCREW 20-297,invoice,small,15.0,104041,201002,,,0.95,real_odoo
CHALK WELDING,CHALK WELDING,invoice,small,15.0,410004,201002,,,0.95,real_odoo
CHALK WELDING,CHALK WELDING,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Sheet hr 10*1000*2000,Sheet hr 10*1000*2000,invoice,medium,15.0,410012,201002,,,0.95,real_odoo
Sheet hr 10*1000*2000,Sheet hr 10*1000*2000,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
CERAMIC 60*60*1.08,CERAMIC 60*60*1.08,invoice,medium,15.0,410015,201002,,,0.95,real_odoo
CERAMIC 60*60*1.08,CERAMIC 60*60*1.08,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
TRUCK REPAIR,TRUCK REPAIR,invoice,medium,0.0,400041,201002,,,0.95,real_odoo
SPARK PLUGE,SPARK PLUGE,invoice,small,15.0,400041,201002,,,0.95,real_odoo
SPARK PLUGE,SPARK PLUGE,invoice,small,15.0,104041,201002,,,0.95,real_odoo
PRESSER WASHER,PRESSER WASHER,invoice,small,15.0,410004,201002,,,0.95,real_odoo
PRESSER WASHER,PRESSER WASHER,invoice,small,15.0,104041,201002,,,0.95,real_odoo
A9F44232,A9F44232,invoice,medium,15.0,410007,201002,,,0.95,real_odoo
A9F44232,A9F44232,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
MDF SHEET 1.22*2.44* 11 MM,MDF SHEET 1.22*2.44* 11 MM,invoice,large,15.0,410004,201002,,,0.95,real_odoo
cutter annular,cutter annular,invoice,small,15.0,410004,201002,,,0.95,real_odoo
cutter annular,cutter annular,invoice,small,15.0,410006,201002,,,0.95,real_odoo
cutter annular,cutter annular,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Fuel filter element,Fuel filter element,invoice,small,15.0,400041,201002,,,0.95,real_odoo
Fuel filter element,Fuel filter element,invoice,small,15.0,104041,201002,,,0.95,real_odoo
2188533,2188533,invoice,medium,15.0,400039,201002,,,0.95,real_odoo
2188533,2188533,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
879 LEATHER,879 LEATHER,invoice,small,15.0,410004,201002,,,0.95,real_odoo
HAB,HAB,invoice,large,15.0,410015,201002,,,0.95,real_odoo
HAB,HAB,invoice,large,15.0,104041,201002,,,0.95,real_odoo
white plastic paint semi gloss,white plastic paint semi gloss,invoice,small,15.0,410008,201002,,,0.95,real_odoo
white plastic paint semi gloss,white plastic paint semi gloss,invoice,small,15.0,410015,201002,,,0.95,real_odoo
white plastic paint semi gloss,white plastic paint semi gloss,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Jambo plastic paint roller,Jambo plastic paint roller,invoice,small,15.0,410004,201002,,,0.95,real_odoo
Jambo plastic paint roller,Jambo plastic paint roller,invoice,small,15.0,104041,201002,,,0.95,real_odoo
safety light yellow 12/24,safety light yellow 12/24,invoice,small,15.0,410007,201002,,,0.95,real_odoo
safety light yellow 12/24,safety light yellow 12/24,invoice,small,15.0,104041,201002,,,0.95,real_odoo
1,1,invoice,small,15.0,410062,201002,,,0.95,real_odoo
1,1,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Ki tools tct hole saw 35mm,Ki tools tct hole saw 35mm,invoice,small,15.0,410015,201002,,,0.95,real_odoo
Ki tools tct hole saw 35mm,Ki tools tct hole saw 35mm,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Plus 20w50 ch4 208ltr,Plus 20w50 ch4 208ltr,invoice,medium,15.0,410052,201002,,,0.95,real_odoo
Plus 20w50 ch4 208ltr,Plus 20w50 ch4 208ltr,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
safety light bulb,safety light bulb,invoice,small,15.0,410007,201002,,,0.95,real_odoo
safety light bulb,safety light bulb,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Digital mic For Mr.Mubarak office,Digital mic For Mr.Mubarak office,invoice,small,0.0,400027,201002,,,0.95,real_odoo
PVC water proof box 10*10,PVC water proof box 10*10,invoice,small,15.0,410007,201002,,,0.95,real_odoo
PVC water proof box 10*10,PVC water proof box 10*10,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Acti9 2p 32a mcb schneider,Acti9 2p 32a mcb schneider,invoice,medium,15.0,410007,201002,,,0.95,real_odoo
Acti9 2p 32a mcb schneider,Acti9 2p 32a mcb schneider,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
chemical cana bond,chemical cana bond,invoice,small,15.0,410015,201002,,,0.95,real_odoo
chemical cana bond,chemical cana bond,invoice,small,15.0,410004,201002,,,0.95,real_odoo
chemical cana bond,chemical cana bond,invoice,small,15.0,104041,201002,,,0.95,real_odoo
3inch mattress,3inch mattress,invoice,small,15.0,410015,201002,,,0.95,real_odoo
3inch mattress,3inch mattress,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Thinner hot,Thinner hot,invoice,small,15.0,410004,201002,,,0.95,real_odoo
Thinner hot,Thinner hot,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Auto bulb 24v 21w P2W 1060,Auto bulb 24v 21w P2W 1060,invoice,small,15.0,410007,201002,,,0.95,real_odoo
Auto bulb 24v 21w P2W 1060,Auto bulb 24v 21w P2W 1060,invoice,small,15.0,104041,201002,,,0.95,real_odoo
01314,01314,invoice,small,15.0,410004,201002,,,0.95,real_odoo
01314,01314,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Hex nut zp,Hex nut zp,invoice,small,15.0,410015,201002,,,0.95,real_odoo
Hex nut zp,Hex nut zp,invoice,small,15.0,104041,201002,,,0.95,real_odoo
JACK HAMMER MAINTENANCE,JACK HAMMER MAINTENANCE,invoice,small,15.0,410007,201002,,,0.95,real_odoo
JACK HAMMER MAINTENANCE,JACK HAMMER MAINTENANCE,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Stainley tool sheet sander 1/3,Stainley tool sheet sander 1/3,invoice,medium,15.0,410004,201002,,,0.95,real_odoo
Stainley tool sheet sander 1/3,Stainley tool sheet sander 1/3,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
Gasoline 91,Gasoline 91,invoice,small,15.0,410011,201002,,,0.95,real_odoo
Gasoline 91,Gasoline 91,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Gas cylinder refiil,Gas cylinder refiil,invoice,small,15.0,410004,201002,,,0.95,real_odoo
Gas cylinder refiil,Gas cylinder refiil,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Air hose 8mm,Air hose 8mm,invoice,small,15.0,410007,201002,,,0.95,real_odoo
Air hose 8mm,Air hose 8mm,invoice,small,15.0,104041,201002,,,0.95,real_odoo
2.5mm tile spacer,2.5mm tile spacer,invoice,small,15.0,410015,201002,,,0.95,real_odoo
2.5mm tile spacer,2.5mm tile spacer,invoice,small,15.0,104041,201002,,,0.95,real_odoo
wall and iron with installation,wall and iron with installation,invoice,small,0.0,410062,201002,,,0.95,real_odoo
End cap PVC 1,End cap PVC 1,invoice,small,15.0,410007,201002,,,0.95,real_odoo
End cap PVC 1,End cap PVC 1,invoice,small,15.0,104041,201002,,,0.95,real_odoo
cement block 20*20,cement block 20*20,invoice,small,15.0,410015,201002,,,0.95,real_odoo
cement block 20*20,cement block 20*20,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Sleeve emulsion 4*1,Sleeve emulsion 4*1,invoice,small,15.0,410008,201002,,,0.95,real_odoo
Sleeve emulsion 4*1,Sleeve emulsion 4*1,invoice,small,15.0,410004,201002,,,0.95,real_odoo
Sleeve emulsion 4*1,Sleeve emulsion 4*1,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Brass 4 line mattress,Brass 4 line mattress,invoice,small,15.0,410015,201002,,,0.95,real_odoo
Brass 4 line mattress,Brass 4 line mattress,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Jotashield eterna B 0.9L,Jotashield eterna B 0.9L,invoice,small,15.0,410008,201002,,,0.95,real_odoo
Jotashield eterna B 0.9L,Jotashield eterna B 0.9L,invoice,small,15.0,104041,201002,,,0.95,real_odoo
valve concelead,valve concelead,invoice,medium,15.0,410007,201002,,,0.95,real_odoo
valve concelead,valve concelead,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
Single switch sunyou 2*4,Single switch sunyou 2*4,invoice,medium,15.0,410007,201002,,,0.95,real_odoo
Single switch sunyou 2*4,Single switch sunyou 2*4,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
fENOMASTIC MYHOME smt 0.9LTR,fENOMASTIC MYHOME smt 0.9LTR,invoice,small,15.0,410008,201002,,,0.95,real_odoo
fENOMASTIC MYHOME smt 0.9LTR,fENOMASTIC MYHOME smt 0.9LTR,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Jotashield eterna 16.2l,Jotashield eterna 16.2l,invoice,medium,15.0,410008,201002,,,0.95,real_odoo
Jotashield eterna 16.2l,Jotashield eterna 16.2l,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
Building water brush,Building water brush,invoice,small,15.0,410004,201002,,,0.95,real_odoo
Building water brush,Building water brush,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Jotashield eterna 0.9l,Jotashield eterna 0.9l,invoice,small,15.0,410008,201002,,,0.95,real_odoo
Jotashield eterna 0.9l,Jotashield eterna 0.9l,invoice,small,15.0,104041,201002,,,0.95,real_odoo
175/70/14 mile king,175/70/14 mile king,invoice,small,15.0,410015,201002,,,0.95,real_odoo
175/70/14 mile king,175/70/14 mile king,invoice,small,15.0,104041,201002,,,0.95,real_odoo
woodden door lock,woodden door lock,invoice,medium,15.0,410004,201002,,,0.95,real_odoo
woodden door lock,woodden door lock,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
6,6,invoice,small,15.0,410015,201002,,,0.95,real_odoo
6,6,invoice,small,15.0,104041,201002,,,0.95,real_odoo
PPR elbopw cross coupling 25mm,PPR elbopw cross coupling 25mm,invoice,medium,15.0,410007,201002,,,0.95,real_odoo
PPR elbopw cross coupling 25mm,PPR elbopw cross coupling 25mm,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
"Diamond cutter 4.5""","Diamond cutter 4.5""",invoice,small,15.0,410004,201002,,,0.95,real_odoo
"Diamond cutter 4.5""","Diamond cutter 4.5""",invoice,small,15.0,104041,201002,,,0.95,real_odoo
Gas,Gas,invoice,small,15.0,410004,201002,,,0.95,real_odoo
Gas,Gas,invoice,small,15.0,104041,201002,,,0.95,real_odoo
GP silicone white box,GP silicone white box,invoice,small,15.0,410004,201002,,,0.95,real_odoo
GP silicone white box,GP silicone white box,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Wall putty 3kg,Wall putty 3kg,invoice,small,15.0,410004,201002,,,0.95,real_odoo
Wall putty 3kg,Wall putty 3kg,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Diamond blade concrete 115mm,Diamond blade concrete 115mm,invoice,small,15.0,410004,201002,,,0.95,real_odoo
Diamond blade concrete 115mm,Diamond blade concrete 115mm,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Jambo,Jambo,invoice,small,15.0,410004,201002,,,0.95,real_odoo
Jambo,Jambo,invoice,small,15.0,104041,201002,,,0.95,real_odoo
sliding wire shelf,sliding wire shelf,invoice,medium,15.0,410004,201002,,,0.95,real_odoo
sliding wire shelf,sliding wire shelf,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
Burnt lip,Burnt lip,invoice,medium,15.0,410004,201002,,,0.95,real_odoo
Burnt lip,Burnt lip,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
Taer Haer,Taer Haer,invoice,small,15.0,410007,201002,,,0.95,real_odoo
Taer Haer,Taer Haer,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Diamond wheel dry 180*22.2mm,Diamond wheel dry 180*22.2mm,invoice,small,15.0,410004,201002,,,0.95,real_odoo
Diamond wheel dry 180*22.2mm,Diamond wheel dry 180*22.2mm,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Safety googles,Safety googles,invoice,small,15.0,410004,201002,,,0.95,real_odoo
Safety googles,Safety googles,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Self tapping pan HD comb,Self tapping pan HD comb,invoice,small,15.0,410004,201002,,,0.95,real_odoo
Self tapping pan HD comb,Self tapping pan HD comb,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Gypsum powder,Gypsum powder,invoice,small,15.0,410015,201002,,,0.95,real_odoo
Gypsum powder,Gypsum powder,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Plastic roll,Plastic roll,invoice,small,15.0,410004,201002,,,0.95,real_odoo
Plastic roll,Plastic roll,invoice,small,15.0,104041,201002,,,0.95,real_odoo
1,1,invoice,small,15.0,410004,201002,,,0.95,real_odoo
Crak filler,Crak filler,invoice,medium,15.0,410015,201002,,,0.95,real_odoo
Crak filler,Crak filler,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
Ral 8011*700,Ral 8011*700,invoice,medium,15.0,410015,201002,,,0.95,real_odoo
Ral 8011*700,Ral 8011*700,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
Rubber hammer,Rubber hammer,invoice,small,15.0,410004,201002,,,0.95,real_odoo
Rubber hammer,Rubber hammer,invoice,small,15.0,104041,201002,,,0.95,real_odoo
USB cable,USB cable,invoice,small,0.0,400027,201002,,,0.95,real_odoo
Sheet HR 8*1000*2000,Sheet HR 8*1000*2000,invoice,large,15.0,410012,201002,,,0.95,real_odoo
Sheet HR 8*1000*2000,Sheet HR 8*1000*2000,invoice,large,15.0,104041,201002,,,0.95,real_odoo
Sheet hr 2*1220*2440,Sheet hr 2*1220*2440,invoice,large,15.0,410012,201002,,,0.95,real_odoo
Sheet hr 2*1220*2440,Sheet hr 2*1220*2440,invoice,large,15.0,104041,201002,,,0.95,real_odoo
Angle bar HR4*50*506000,Angle bar HR4*50*506000,invoice,xlarge,15.0,410012,201002,,,0.95,real_odoo
Angle bar HR4*50*506000,Angle bar HR4*50*506000,invoice,xlarge,15.0,104041,201002,,,0.95,real_odoo
Tube HR 1.80*50*100*6000,Tube HR 1.80*50*100*6000,invoice,medium,15.0,410012,201002,,,0.95,real_odoo
Tube HR 1.80*50*100*6000,Tube HR 1.80*50*100*6000,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
Cement block10*20*40cm,Cement block10*20*40cm,invoice,medium,15.0,410015,201002,,,0.95,real_odoo
Cement block10*20*40cm,Cement block10*20*40cm,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
Regular red chain,Regular red chain,invoice,small,15.0,400039,201002,,,0.95,real_odoo
Regular red chain,Regular red chain,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Corner casting,Corner casting,invoice,large,0.0,410015,201002,,,0.95,real_odoo
Shot crete spraying machine,Shot crete spraying machine,invoice,medium,0.0,1000101,201002,,,0.95,real_odoo
GRC ARG chopped chem,GRC ARG chopped chem,invoice,medium,15.0,410004,201002,,,0.95,real_odoo
GRC ARG chopped chem,GRC ARG chopped chem,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
Diesel filter perkins,Diesel filter perkins,invoice,small,15.0,410062,201002,,,0.95,real_odoo
Diesel filter perkins,Diesel filter perkins,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Wire,Wire,invoice,small,15.0,410007,201002,,,0.95,real_odoo
Wire,Wire,invoice,small,15.0,104041,201002,,,0.95,real_odoo
"4.5"" cutting disc 1mm yellow apple","4.5"" cutting disc 1mm yellow apple",invoice,small,15.0,410004,201002,,,0.95,real_odoo
"4.5"" cutting disc 1mm yellow apple","4.5"" cutting disc 1mm yellow apple",invoice,small,15.0,104041,201002,,,0.95,real_odoo
Green prime white 18ltr,Green prime white 18ltr,invoice,medium,15.0,410008,201002,,,0.95,real_odoo
Green prime white 18ltr,Green prime white 18ltr,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
Sika latex 25ltr,Sika latex 25ltr,invoice,medium,15.0,410008,201002,,,0.95,real_odoo
Sika latex 25ltr,Sika latex 25ltr,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
"GI coupling class 150 1""","GI coupling class 150 1""",invoice,small,15.0,410007,201002,,,0.95,real_odoo
"GI coupling class 150 1""","GI coupling class 150 1""",invoice,small,15.0,104041,201002,,,0.95,real_odoo
Hired external engineer for 1 day,Hired external engineer for 1 day,invoice,small,0.0,999991,201002,,,0.95,real_odoo
Cement mukavam,Cement mukavam,invoice,medium,15.0,410015,201002,,,0.95,real_odoo
Cement mukavam,Cement mukavam,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
NUMF,NUMF,invoice,medium,15.0,410007,201002,,,0.95,real_odoo
NUMF,NUMF,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
Transmatic 4-50-20l oil,Transmatic 4-50-20l oil,invoice,small,15.0,410052,201002,,,0.95,real_odoo
Transmatic 4-50-20l oil,Transmatic 4-50-20l oil,invoice,small,15.0,104041,201002,,,0.95,real_odoo
3/8-1/2 part for mercedes truck,3/8-1/2 part for mercedes truck,invoice,medium,15.0,410062,201002,,,0.95,real_odoo
3/8-1/2 part for mercedes truck,3/8-1/2 part for mercedes truck,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
PPR Elbow 90D 25*1/2 PRASS S*T,PPR Elbow 90D 25*1/2 PRASS S*T,invoice,medium,15.0,410007,201002,,,0.95,real_odoo
PPR Elbow 90D 25*1/2 PRASS S*T,PPR Elbow 90D 25*1/2 PRASS S*T,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
eastern oil 1,eastern oil 1,invoice,small,15.0,410004,201002,,,0.95,real_odoo
eastern oil 1,eastern oil 1,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Resin FG PLR,Resin FG PLR,invoice,small,15.0,410004,201002,,,0.95,real_odoo
Crack glue,Crack glue,invoice,medium,15.0,410007,201002,,,0.95,real_odoo
Crack glue,Crack glue,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
Thermal Insulation,Thermal Insulation,invoice,large,15.0,410015,201002,,,0.95,real_odoo
Thermal Insulation,Thermal Insulation,invoice,large,15.0,104041,201002,,,0.95,real_odoo
Gray thermal insulation,Gray thermal insulation,invoice,medium,15.0,410015,201002,,,0.95,real_odoo
Gray thermal insulation,Gray thermal insulation,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
Thermal insulation,Thermal insulation,invoice,large,15.0,410015,201002,,,0.95,real_odoo
Thermal insulation,Thermal insulation,invoice,large,15.0,104041,201002,,,0.95,real_odoo
20ft container,20ft container,invoice,small,0.0,410022,201002,,,0.95,real_odoo
555 paint gun,555 paint gun,invoice,medium,15.0,410004,201002,,,0.95,real_odoo
555 paint gun,555 paint gun,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
Makita angle grinder 640w,Makita angle grinder 640w,invoice,medium,15.0,410004,201002,,,0.95,real_odoo
Makita angle grinder 640w,Makita angle grinder 640w,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
Autoweld solid mig wire 0.8mm,Autoweld solid mig wire 0.8mm,invoice,large,15.0,410004,201002,,,0.95,real_odoo
Autoweld solid mig wire 0.8mm,Autoweld solid mig wire 0.8mm,invoice,large,15.0,104041,201002,,,0.95,real_odoo
Grinder repair,Grinder repair,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Element fuel filter,Element fuel filter,invoice,small,15.0,410062,201002,,,0.95,real_odoo
Element fuel filter,Element fuel filter,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Forklift 16 TON WITHOUT OPERATOR-JANUARY 2025,Forklift 16 TON WITHOUT OPERATOR-JANUARY 2025,invoice,large,15.0,400034,201002,,,0.95,real_odoo
Forklift 16 TON WITHOUT OPERATOR-JANUARY 2025,Forklift 16 TON WITHOUT OPERATOR-JANUARY 2025,invoice,large,15.0,104041,201002,,,0.95,real_odoo
Document delivery,Document delivery,invoice,small,15.0,400021,201002,,,0.95,real_odoo
Document delivery,Document delivery,invoice,small,15.0,104041,201002,,,0.95,real_odoo
chicago coupling 4jME-1/4,chicago coupling 4jME-1/4,invoice,small,15.0,410007,201002,,,0.95,real_odoo
chicago coupling 4jME-1/4,chicago coupling 4jME-1/4,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Heavy duty 1/2 25mtr,Heavy duty 1/2 25mtr,invoice,small,15.0,410007,201002,,,0.95,real_odoo
Heavy duty 1/2 25mtr,Heavy duty 1/2 25mtr,invoice,small,15.0,104041,201002,,,0.95,real_odoo
SKF,SKF,invoice,small,15.0,410004,201002,,,0.95,real_odoo
SKF,SKF,invoice,small,15.0,104041,201002,,,0.95,real_odoo
"Nails concrete 2.5""","Nails concrete 2.5""",invoice,small,15.0,410004,201002,,,0.95,real_odoo
"Nails concrete 2.5""","Nails concrete 2.5""",invoice,small,15.0,104041,201002,,,0.95,real_odoo
"Nails wood 2""","Nails wood 2""",invoice,small,15.0,410004,201002,,,0.95,real_odoo
"Nails wood 2""","Nails wood 2""",invoice,small,15.0,104041,201002,,,0.95,real_odoo
Hexagon shank flat 17*350*25,Hexagon shank flat 17*350*25,invoice,small,15.0,410004,201002,,,0.95,real_odoo
Hexagon shank flat 17*350*25,Hexagon shank flat 17*350*25,invoice,small,15.0,104041,201002,,,0.95,real_odoo
ACD spray,ACD spray,invoice,small,15.0,410004,201002,,,0.95,real_odoo
ACD spray,ACD spray,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Dyanaflex,Dyanaflex,invoice,small,15.0,410007,201002,,,0.95,real_odoo
Dyanaflex,Dyanaflex,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Round brush pen set,Round brush pen set,invoice,small,15.0,410004,201002,,,0.95,real_odoo
Round brush pen set,Round brush pen set,invoice,small,15.0,104041,201002,,,0.95,real_odoo
"Diamond blade 7""","Diamond blade 7""",invoice,small,15.0,410004,201002,,,0.95,real_odoo
"Diamond blade 7""","Diamond blade 7""",invoice,small,15.0,104041,201002,,,0.95,real_odoo
Cutter,Cutter,invoice,small,0.0,410004,201002,,,0.95,real_odoo
Gas cylinder,Gas cylinder,invoice,small,15.0,410004,201002,,,0.95,real_odoo
Hook chain,Hook chain,invoice,small,0.0,400039,201002,,,0.95,real_odoo
Rust remover for steel,Rust remover for steel,invoice,small,0.0,410004,201002,,,0.95,real_odoo
Duplex door paint,Duplex door paint,invoice,small,15.0,410008,201002,,,0.95,real_odoo
Duplex door paint,Duplex door paint,invoice,small,15.0,104041,201002,,,0.95,real_odoo
Corrugation of MS sheets 1,Corrugation of MS sheets 1,invoice,medium,15.0,410012,201002,,,0.95,real_odoo
Corrugation of MS sheets 1,Corrugation of MS sheets 1,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
MS bending 8mm 140*292*2000,MS bending 8mm 140*292*2000,invoice,medium,15.0,410012,201002,,,0.95,real_odoo
MS bending 8mm 140*292*2000,MS bending 8mm 140*292*2000,invoice,medium,15.0,104041,201002,,,0.95,real_odoo
